experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_45,35,3,0,1507.68,1615.12,1,1781494642.78,1781494642.78,1781494762.78,20.0,1781494644.057,1.0,1781494706.392,1781494736.428,2.0,investigated
stochastic/N_6_seed_45,36,2,1,2700.25,-2260.39,0,1781494687.59,1781494687.59,1781494807.59,20.0,,,,,,expired
stochastic/N_6_seed_45,37,3,1,2408.18,2426.54,1,1781494691.87,1781494691.87,1781494811.87,20.0,1781494777.597,1.0,1781494777.765,1781494807.832,1.0,investigated
stochastic/N_6_seed_45,38,4,1,229.03,-1735.12,1,1781494702.51,1781494702.51,1781494822.51,20.0,,,,,,expired
stochastic/N_6_seed_45,39,2,1,1180.65,-2047.82,0,1781494709.46,1781494709.46,1781494829.46,20.0,1781494728.654,6.0,,,,expired
stochastic/N_6_seed_45,40,5,1,1221.15,-2044.1,1,1781494723.48,1781494723.48,1781494843.48,20.0,1781494728.654,6.0,1781494728.774,1781494758.759,6.0,investigated
stochastic/N_6_seed_45,41,1,1,888.51,-1238.77,0,1781494729.67,1781494729.67,1781494849.67,20.0,1781494729.517,5.0,,,,expired
stochastic/N_6_seed_45,42,2,0,456.7,-308.04,0,1781494743.96,1781494743.96,1781494863.96,20.0,,,,,,expired
stochastic/N_6_seed_45,43,3,0,2042.44,-2288.31,1,1781494745.16,1781494745.16,1781494865.16,20.0,,,,,,expired
stochastic/N_6_seed_45,44,2,0,746.37,1790.15,0,1781494774.51,1781494774.51,1781494894.51,20.0,,,,,,expired
stochastic/N_6_seed_45,45,3,1,2300.23,-1827.18,1,1781494788.61,1781494788.61,1781494908.61,20.0,,,,,,expired
stochastic/N_6_seed_45,46,5,0,1285.84,-152.97,1,1781494789.69,1781494789.69,1781494909.69,20.0,,,,,,expired
stochastic/N_6_seed_45,47,1,0,497.18,2699.79,0,1781494791.23,1781494791.23,1781494911.23,20.0,,,,,,expired
stochastic/N_6_seed_45,48,3,0,2767.23,1476.83,1,1781494792.55,1781494792.55,1781494912.55,20.0,,,,,,expired
stochastic/N_6_seed_45,49,1,1,2396.61,2205.71,0,1781494831.54,1781494831.54,1781494951.54,20.0,1781494831.989,1.0,,,,expired
stochastic/N_6_seed_45,50,2,1,1359.17,200.34,0,1781494845.18,1781494845.18,1781494965.18,20.0,,,,,,expired
stochastic/N_6_seed_45,51,4,0,180.47,700.19,1,1781494846.17,1781494846.17,1781494966.17,20.0,,,,,,expired
